Nutriente,Unità,Totale,DRI,pct_dri,Opt,pct_opt
ALA,G,4.5,1.6,283.75,2.0,227.0
Biotin,UG,62.5,30.0,208.33466666666664,30.0,208.33466666666664
"Calcium, Ca",MG,1604.0,1000.0,160.40008,1200.0,133.66673333333335
"Choline, total",MG,1025.1,550.0,186.3869090909091,700.0,146.44685714285717
"Chromium, Cr",UG,37.8,30.0,126.00000000000001,35.0,108.00000000000001
"Copper, Cu",MG,4.1,0.9,459.0888888888889,0.9,459.0888888888889
Cysteine and methionine(sulfer containig AA),MG,696.3,1800.0,38.684444444444445,1800.0,38.684444444444445
Energy,KCAL,2071.6,,,2000.0,103.581
"Folate, DFE",UG,1759.3,400.0,439.83,400.0,439.83
Iodine,UG,450.0,150.0,300.0,150.0,300.0
"Iron, Fe",MG,43.5,8.0,543.46875,14.0,310.55357142857144
Isoleucine,MG,0.0,3120.0,0.0,3120.0,0.0
LA,G,19.0,17.0,112.0294117647059,17.0,112.0294117647059
Leucine,MG,0.0,4680.0,0.0,4680.0,0.0
Lutein + zeaxanthin,UG,61110.0,,,10000.0,611.1
Lycopene,UG,69475.0,,,10000.0,694.75
Lysine,MG,0.0,3600.0,0.0,3600.0,0.0
"Magnesium, Mg",MG,960.1,420.0,228.58380952380952,420.0,228.58380952380952
"Manganese, Mn",MG,16.0,2.3,696.0026086956523,2.3,696.0026086956523
"Molybdenum, Mo",UG,292.5,45.0,650.0,45.0,650.0
Niacin,MG,13.1,16.0,82.162375,16.0,82.162375
Pantothenic acid,MG,3.0,5.0,60.664,5.0,60.664
Phenylalanine and tyrosine (aromatic  AA),MG,2500.8,3000.0,83.36000000000001,3000.0,83.36000000000001
"Phosphorus, P",MG,2063.2,700.0,294.7397142857143,700.0,294.7397142857143
"Potassium, K",MG,6190.5,2600.0,238.09730769230768,4700.0,131.71340425531915
Riboflavin,MG,1.6,1.3,119.53846153846153,1.3,119.53846153846153
"Selenium, Se",UG,68.7,55.0,124.88363636363637,55.0,124.88363636363637
"Sodium, Na",MG,849.2,1500.0,56.613433333333326,1500.0,56.613433333333326
Thiamin,MG,1.8,1.2,150.25500000000002,1.2,150.25500000000002
Threonine,MG,0.0,2400.0,0.0,2400.0,0.0
Tryptophan,MG,0.0,480.0,0.0,480.0,0.0
Valine,MG,0.0,3120.0,0.0,3120.0,0.0
"Vitamin A, RAE",UG,2459.0,900.0,273.22222222222223,900.0,273.22222222222223
Vitamin B-12,UG,1000.0,2.4,41666.66666666667,250.0,400.0
Vitamin B-6,MG,2.4,1.7,142.00788235294115,1.7,142.00788235294115
"Vitamin C, total ascorbic acid",MG,182.1,90.0,202.37777777777777,200.0,91.07
Vitamin D (D2 + D3),UG,100.0,15.0,666.6666666666666,50.0,200.0
Vitamin E (alpha-tocopherol),MG,18.8,15.0,125.0,15.0,125.0
Vitamin K (phylloquinone),UG,2444.8,120.0,2037.3383333333334,120.0,2037.3383333333334
Vitamin K2 (Menaquinone-7),UG,0.0,,,45.0,0.0
"Zinc, Zn",MG,16.6,11.0,150.86909090909091,15.0,110.63733333333334
