date,energy_kcal,fiber_g,fasting_flag
2025-09-01,2006.62,93.27,
2025-09-02,2790.82,97.01,
2025-09-03,2175.5,80.5,
2025-09-04,1974.3,86.67,
2025-09-05,2213.58,81.39,
2025-09-06,2325.46,77.18,
2025-09-07,2775.62,80.35,
2025-09-08,2021.21,65.23,
2025-09-09,2419.62,81.52,
2025-09-10,2557.36,99.15,
2025-09-11,2405.51,107.9,
2025-09-12,3113.97,65.61,
2025-09-13,2533.9,89.59,
2025-09-14,2477.36,92.01,
2025-09-15,2083.4,91.11,
2025-09-16,2666.94,90.36,
2025-09-17,2128.6,103.94,
2025-09-18,2356.87,107.36,
2025-09-19,2091.88,91.92,
2025-09-20,2494.04,87.24,
2025-09-21,2250.22,74.36,
2025-09-22,2041.26,89.97,
2025-09-23,1859.4,83.74,
2025-09-24,1810.42,82.57,
2025-09-25,1782.26,81.87,
2025-09-26,1846.4,80.94,
2025-09-27,1764.56,61.35,
2025-09-28,1832.78,60.98,
2025-09-29,1898.54,94.54,
2025-09-30,2090.06,75.31,
