DateTime,Recovery,Sleep Score,Fasting,date
2025-09-02 00:00:00,79.0,85.0,,2025-09-02
2025-09-03 00:00:00,59.0,69.0,,2025-09-03
2025-09-04 00:00:00,61.0,77.0,,2025-09-04
2025-09-05 00:00:00,74.0,83.0,,2025-09-05
2025-09-06 00:00:00,71.0,86.0,,2025-09-06
2025-09-07 00:00:00,50.0,69.0,,2025-09-07
2025-09-08 00:00:00,48.0,71.0,,2025-09-08
2025-09-09 00:00:00,76.0,85.0,,2025-09-09
2025-09-10 00:00:00,48.0,75.0,,2025-09-10
2025-09-11 00:00:00,64.0,73.0,,2025-09-11
2025-09-12 00:00:00,64.0,77.0,,2025-09-12
2025-09-13 00:00:00,44.0,75.0,,2025-09-13
2025-09-14 00:00:00,33.0,64.0,,2025-09-14
2025-09-15 00:00:00,34.0,63.0,,2025-09-15
2025-09-16 00:00:00,38.0,81.0,,2025-09-16
2025-09-17 00:00:00,25.0,53.0,,2025-09-17
2025-09-18 00:00:00,56.0,83.0,,2025-09-18
2025-09-19 00:00:00,53.0,80.0,,2025-09-19
2025-09-20 00:00:00,55.0,78.0,,2025-09-20
2025-09-21 00:00:00,43.0,68.0,,2025-09-21
2025-09-22 00:00:00,49.0,74.0,,2025-09-22
2025-09-23 00:00:00,57.0,81.0,,2025-09-23
2025-09-24 00:00:00,51.0,80.0,,2025-09-24
2025-09-25 00:00:00,59.0,86.0,,2025-09-25
2025-09-26 00:00:00,66.0,78.0,,2025-09-26
2025-09-27 00:00:00,75.0,79.0,,2025-09-27
2025-09-28 00:00:00,67.0,79.0,,2025-09-28
2025-09-29 00:00:00,65.0,77.0,,2025-09-29
2025-09-30 00:00:00,68.0,85.0,,2025-09-30
