date,Carbs,Fat,fasting_flag
2025-09-01,"333,02","63,74",
2025-09-02,"393,58","101,85",
2025-09-03,"322,65","85,58",
2025-09-04,"337,26","59,63",
2025-09-05,"326,37","86,84",
2025-09-06,"341,01","90,20",
2025-09-07,"449,76","85,65",
2025-09-08,"313,01","52,21",
2025-09-09,"343,47","103,11",
2025-09-10,"410,39","80,22",
2025-09-11,"412,47","65,21",
2025-09-12,"613,71","74,85",
2025-09-13,"394,50","91,53",
2025-09-14,"390,33","90,27",
2025-09-15,"362,57","66,13",
2025-09-16,"441,42","92,09",
2025-09-17,"374,03","64,17",
2025-09-18,"415,18","70,14",
2025-09-19,"363,44","66,27",
2025-09-20,"403,50","81,85",
2025-09-21,"339,46","83,69",
2025-09-22,"372,64","58,88",
2025-09-23,"327,11","59,00",
2025-09-24,"328,36","51,67",
2025-09-25,"325,64","50,18",
2025-09-26,"333,73","53,18",
2025-09-27,"274,62","60,50",
2025-09-28,"290,17","60,46",
2025-09-29,"366,86","45,53",
2025-09-30,"382,50","57,10",
