date,Protein,Water,fasting_flag
2025-09-01,"95,21","3779,33",
2025-09-02,"129,42","4423,92",
2025-09-03,"90,26","4269,83",
2025-09-04,"92,39","4315,40",
2025-09-05,"90,21","4179,90",
2025-09-06,"104,09","3982,65",
2025-09-07,"113,88","3950,29",
2025-09-08,"75,84","4125,93",
2025-09-09,"94,92","3716,37",
2025-09-10,"112,44","3979,46",
2025-09-11,"113,56","4068,28",
2025-09-12,"75,36","4805,45",
2025-09-13,"88,54","3837,48",
2025-09-14,"91,83","4177,20",
2025-09-15,"111,65","4249,33",
2025-09-16,"113,38","3836,50",
2025-09-17,"110,00","4015,80",
2025-09-18,"111,99","4509,13",
2025-09-19,"112,77","3722,75",
2025-09-20,"117,35","4054,02",
2025-09-21,"100,91","4328,26",
2025-09-22,"108,55","4819,69",
2025-09-23,"109,86","3724,59",
2025-09-24,"98,73","3939,94",
2025-09-25,"97,77","3973,02",
2025-09-26,"99,42","3817,42",
2025-09-27,"85,97","2875,27",
2025-09-28,"86,80","4532,77",
2025-09-29,"92,42","4369,86",
2025-09-30,"96,10","3775,29",
